SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604080982,120507296,36
SAS-5581743944,2604080987,120507296,36
SAS-5581743944,2604081195,120507296,36
SAS-5581743944,2604081196,120507296,36
SAS-5581743944,2604081186,120507296,36
SAS-5581743944,2604081199,120507296,36
SAS-5581743944,2604091629,120568080,110
SAS-5581743944,2604091630,120568080,110
SAS-5581743944,2604091628,120568080,110
SAS-5581743944,2604091631,120568080,110
SAS-5581743944,2604091701,120551942,113
SAS-5581743944,2604091702,120551942,113
SAS-5581743944,2604091746,120551942,113
SAS-5581743944,2604091745,120551942,113
SAS-5581743944,2604082186,120577931,108
SAS-5581743944,2604082195,120577929,108
SAS-5581743944,2604082187,120577931,108
SAS-5581743944,2604082192,120577929,108
SAS-5581743944,2604082193,120577929,108
SAS-5581743944,2604091670,120210363,110
SAS-5581743944,2604091693,120210362,109
SAS-5581743944,2604091688,120210362,109
SAS-5581743944,2604091400,120554968,108
SAS-5581743944,2604091453,120568079,90
SAS-5581743944,2604091444,120568079,100
SAS-5581743944,2604091445,120568079,100
SAS-5581743944,2604091403,120201418,108
SAS-5581743944,2604091413,120201418,108
SAS-5581743944,2604091407,120201418,108
SAS-5581743944,2604091402,120201418,108
SAS-5581743944,2604091425,120201418,107
SAS-5581743944,2604091412,120201418,108
SAS-5581743944,2604091430,120201418,106
SAS-5581743944,2604091424,120201418,107
SAS-5581743944,2604091437,120566847,106
SAS-5581743944,2604091440,120566847,106
SAS-5581743944,2604091438,120566847,106
SAS-5581743944,2604091439,120566847,106
SAS-5581743944,2604091434,120566847,106
SAS-5581743944,2604091690,120210362,109
SAS-5581743944,2604090501,121010783,375
SAS-5581743944,2604090502,121010783,375
SAS-5581743944,2604090650,121010783,375
SAS-5581743944,2604090385,121010783,375
SAS-5581743944,2604090383,121010783,375
SAS-5581743944,2604090386,121010783,375
SAS-5581743944,2604090384,121010783,375
SAS-5581743944,2604090562,121010783,375
SAS-5581743944,2604090651,121010783,375
