hammadde kodu;YARI MAMUL ADI;BAĞLI BLOK STOK KODU;BAĞLI BLOK STOK ADI
HASUPL11599;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X128X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11601;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X138X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11602;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X138X3;HASURL0309;SUNGER RULO 27 DNS ALOVERA YESIL 198X3 SOFT
HASUPL11603;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X138X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11604;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X148X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11606;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X148X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11607;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X151X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11608;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X151X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11609;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X153X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11611;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X158X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
